Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
7,112.5400283,-61.83757936,-12.83797336,-11.42773369,,-8.460730953,11.38968103,1.732130642,-9.282474808,-18.69403303,-0.935117955,-28.70529246
7,-62.32698418,123.2849515,-18.84323986,-19.39717771,,-13.22727864,-26.58202754,-6.654024428,-13.24142631,-35.12929611,-1.632637336,-65.36823455
7,-13.16172876,-19.77930497,45.065795,-4.48526924,,2.699245069,-5.699874354,-1.508461618,4.485566297,2.451890359,3.160873045,6.774670731
7,-11.28512922,-19.34016338,-4.368420163,59.06999731,,-2.082855687,-5.019193593,-2.320217233,-2.168358019,-6.088245482,-0.302914564,10.78098468
7,,,,,,,,,,,,
7,-8.289711022,-13.0321853,3.578993467,-1.74321456,,12.16716038,-4.449925294,1.90406498,-0.776537812,8.825838373,4.105745104,11.37731175
7,9.233528077,-25.6110152,-5.581666285,-5.032885558,,-4.476706447,52.27140454,3.008683711,-3.79419396,-9.033684565,-0.370999258,0.233108478
7,2.3671705,-6.654922747,-0.647866982,-1.807915509,,1.893019287,2.441198255,4.154762852,-1.680165791,-2.727518739,-0.146459754,4.819455428
7,-9.20886005,-12.73896403,3.419688606,-1.845191886,,-0.79292592,-3.763756367,-1.700975122,92.97410325,-2.961483092,-0.222076436,-1.06537793
7,-18.97111647,-33.59741182,3.882995798,-5.964281345,,8.170144865,-9.044528878,-3.0258336,-2.742081915,49.89284167,-0.504588108,15.33402772
7,-0.925300389,-1.599109547,3.087177927,-0.286896582,,4.067574191,-0.363299753,-0.146459754,-0.21727847,-0.495930358,,0.982837659
7,-30.27990067,-67.21257611,10.13854332,12.62871112,,12.52563395,1.053704982,5.10567289,-0.573717101,18.30201934,1.050301461,57.17101342
8,90.57687108,-23.64879926,-12.02202391,-28.42149138,-3.046447333,-15.23262045,1.078878866,-45.5035093,-3.209960825,-18.06561433,-19.67578458,-31.86438467
8,-22.75166114,90.4635212,-2.241047876,-9.051162378,5.305645219,-2.764947016,2.042976346,-12.11326502,1.05911696,-1.472489503,-5.987379603,-7.116907266
8,-11.62619339,-2.516713332,46.06404937,-3.306782615,-0.455606663,15.81158843,-0.706585752,-7.727613732,2.305437428,12.75491263,-1.296057191,3.535898986
8,-27.92678897,-8.926045603,-3.423256908,86.29697879,-1.147890669,-5.330694313,-1.754381512,-15.90677326,-0.871088358,-5.512405933,1.731782581,5.285661154
8,-2.527048304,5.291409255,-0.452159026,-1.140376149,-0.121377145,-0.731293292,-0.250936277,-0.517486809,-0.114765962,0.530150434,-0.730530604,1.990636462
8,-15.11363426,-2.753596427,19.15623328,-5.418176745,-0.738548087,60.46574274,-0.206082588,-8.66476349,1.120195151,10.6164427,-3.475972053,3.36763059
