Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown
8,-35.32442424,3.312774005,27.47419044,-10.23482156,3.58998014,20.77014396,-3.240965466,-26.29514616,3.917973531,81.64797068,19.14222003
8,-47.02409013,-7.808949746,11.01379064,25.85402355,2.757677265,-9.457019358,-3.65940237,-13.77706141,4.660046686,21.73525338,81.54274906
9,131.9742275,-53.68487391,-27.25788159,-48.77069833,-2.348558442,-17.20422249,,-26.17656425,-7.160539842,-36.54013228,-48.00475731
9,-52.3436659,105.8844537,-14.23159812,-41.08991518,13.58681165,-3.04468245,,-20.18709835,-4.70044985,-18.57470893,-15.60554867
9,-26.24602617,-14.97022022,73.37241221,-11.61096915,-4.748471819,19.2935921,,-20.34002451,22.15361755,31.66874008,6.685895788
9,-48.69071399,-40.28528056,-11.57924571,172.9096856,-10.47153462,-9.39843546,,-40.69625364,-1.705567608,-13.67078885,-12.85832323
9,-2.467240702,13.75146664,-4.450742732,-10.24580777,17.36820032,-4.182410111,,-1.041425485,-0.224602873,-8.622702184,0.124766877
9,-16.82863233,-3.280253722,22.64389815,-9.105820252,-4.191990438,65.81524517,,-12.42666321,0.7674822,24.92278874,-4.459567225
9,,,,,,,,,,,
9,-26.66123519,-20.4327211,-20.06552506,-40.13692251,-0.527622426,-13.50204975,,85.22728118,-1.449826945,-35.70975261,-17.21321576
9,-6.807749037,-4.37101949,21.65461656,-1.099971913,-0.228943748,0.02037361,,-3.338820527,22.85742716,0.912454103,2.225515933
9,-35.908739,-18.8955079,29.78801062,-14.7090401,-8.524394804,23.37179909,,-36.21811298,0.930617272,100.0872435,7.968335719
9,-46.8560529,-16.75114173,8.521029364,-13.07162095,-0.145539538,-5.176937146,,-19.10032478,3.002223317,10.07413306,87.7354978
10,104.1410292,-72.75720904,-29.29060616,-56.38523909,-6.480512884,-40.31615541,7.029260594,-35.48362239,-15.25411347,-37.01912503,-20.7421964
10,-69.81432849,109.1028007,-7.105952577,-27.709533,9.793061067,-20.52784344,-19.1466107,1.614244496,-4.129928067,-3.100288798,2.203981397
10,-28.28970088,-7.872059104,58.64496658,0.249657594,-1.291012468,8.277130606,-8.545061618,-2.816098335,44.52156379,15.31192282,19.05156062
10,-53.52377294,-26.38981224,0.673656804,175.6814222,-2.242781066,20.85153938,-15.52595077,-24.09606472,-2.934458462,-11.89069953,-1.806499736
10,-6.38597917,11.0532199,-1.290189179,-2.237719917,8.769054321,-2.603100087,-2.440917852,1.129361965,0.863485008,-0.986135452,10.992063
10,-38.47269612,-20.73727333,10.64213637,19.73903472,-2.537333887,82.54768876,-14.0324722,-3.563122477,5.744641653,10.56235048,1.392409851
10,5.345920228,-18.31507423,-8.747079099,-15.69771545,-2.468870007,-13.91904281,69.77528721,-18.4671058,-4.599332112,-15.10094784,-6.20718852
10,-34.2436239,1.494443727,-0.312455578,-25.09927437,1.163427725,-3.03364963,-18.85999087,59.25634888,-5.459558475,2.75602622,6.064239065
10,-14.8533741,-4.79483831,43.11526102,-1.642717739,0.862567391,5.589424235,-4.646570992,-5.483890367,49.1239699,5.661886558,8.466489619
